微信支付账单明细,,,,,,,,
微信昵称：[可口可爱],,,,,,,,
起始时间：[2019-11-28 00:00:00] 终止时间：[2019-12-28 10:49:16],,,,,,,,
导出类型：[全部],,,,,,,,
导出时间：[2019-12-28 10:50:11],,,,,,,,
,,,,,,,,
共147笔记录,,,,,,,,
收入：147笔 44104.00元,,,,,,,,
支出：0笔 0.00元,,,,,,,,
中性交易：0笔 0.00元,,,,,,,,
注：,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,
,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2019-12-23 00:52:10,转账,Ying-桃桃🍑,"转账备注:短袖",收入,¥168.00,/,已存入零钱,1000050101201912231408794948069	,/	,"/"
2019-12-23 00:52:05,转账,Ying-桃桃🍑,"转账备注:卫衣",收入,¥388.00,/,已存入零钱,1000050101201912230808775018763	,/	,"/"
2019-12-23 00:52:00,转账,Ying-桃桃🍑,"转账备注:卫衣",收入,¥2328.00,/,已存入零钱,1000050101201912231208806315673	,/	,"/"
2019-12-23 00:51:55,转账,Ying-桃桃🍑,"转账备注:微信转账",收入,¥616.00,/,已存入零钱,1000050101201912230008744739304	,/	,"/"
2019-12-23 00:51:51,转账,Ying-桃桃🍑,"转账备注:围巾",收入,¥120.00,/,已存入零钱,1000050101201912230908767863346	,/	,"/"
2019-12-23 00:51:45,转账,Ying-桃桃🍑,"转账备注:口红416",收入,¥260.00,/,已存入零钱,1000050101201912230708763299298	,/	,"/"
2019-12-23 00:42:12,微信红包,Jun-桃桃🍑,"/",收入,¥14.00,/,已存入零钱,1000039501000912237000312632858	,1000039501201912237000312632858	,"/"
2019-12-23 00:40:49,微信红包,Jun-桃桃🍑,"/",收入,¥148.00,/,已存入零钱,1000039501000912237000320499813	,1000039501201912237000320499813	,"/"
2019-12-23 00:37:01,微信红包,Jun-桃桃🍑,"/",收入,¥188.00,/,已存入零钱,1000039501000912237000293599668	,1000039501201912237000293599668	,"/"
2019-12-23 00:36:40,微信红包,Jun-桃桃🍑,"/",收入,¥177.00,/,已存入零钱,1000039501000912237000280349639	,1000039501201912237000280349639	,"/"
2019-12-23 00:36:33,微信红包,Jun-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912237000250417780	,1000039501201912237000250417780	,"/"
2019-12-23 00:36:29,微信红包,Jun-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912237000214809775	,1000039501201912237000214809775	,"/"
2019-12-23 00:36:17,转账,Jun-桃桃🍑,"转账备注:mlb羽绒服",收入,¥1500.00,/,已存入零钱,1000050101201912230208806615170	,/	,"/"
2019-12-22 00:26:30,微信红包,Ying-桃桃🍑,"/",收入,¥30.00,/,已存入零钱,1000039501000912227000034661677	,1000039501201912227000034661677	,"/"
2019-12-22 00:00:48,微信红包,Jun-桃桃🍑,"/",收入,¥48.00,/,已存入零钱,1000039501000912217019114749707	,1000039501201912217019114749707	,"/"
2019-12-22 00:00:43,微信红包,Ying-桃桃🍑,"/",收入,¥180.00,/,已存入零钱,1000039501000912217019114498889	,1000039501201912217019114498889	,"/"
2019-12-22 00:00:38,微信红包,Ying-桃桃🍑,"/",收入,¥30.00,/,已存入零钱,1000039501000912217019093284886	,1000039501201912217019093284886	,"/"
2019-12-22 00:00:33,微信红包,Ying-桃桃🍑,"/",收入,¥75.00,/,已存入零钱,1000039501000912217017691611624	,1000039501201912217017691611624	,"/"
2019-12-22 00:00:17,转账,Ying-桃桃🍑,"转账备注:微信转账",收入,¥256.00,/,已存入零钱,1000050101201912211108385154754	,/	,"/"
2019-12-22 00:00:08,转账,Ying-桃桃🍑,"转账备注:微信转账",收入,¥1000.00,/,已存入零钱,1000050101201912211608407305028	,/	,"/"
2019-12-22 00:00:02,转账,Ying-桃桃🍑,"转账备注:微信转账",收入,¥1750.00,/,已存入零钱,1000050101201912211308392608920	,/	,"/"
2019-12-21 23:59:56,转账,Ying-桃桃🍑,"转账备注:微信转账",收入,¥671.00,/,已存入零钱,1000050101201912211608364421634	,/	,"/"
2019-12-21 23:59:49,转账,Ying-桃桃🍑,"转账备注:微信转账",收入,¥500.00,/,已存入零钱,1000050101201912210908416857950	,/	,"/"
2019-12-21 23:59:43,转账,Ying-桃桃🍑,"转账备注:微信转账",收入,¥366.00,/,已存入零钱,1000050101201912211508425961398	,/	,"/"
2019-12-21 23:59:35,转账,Ying-桃桃🍑,"转账备注:微信转账",收入,¥500.00,/,已存入零钱,1000050101201912210608388956247	,/	,"/"
2019-12-21 23:46:57,微信红包,Jun-桃桃🍑,"/",收入,¥30.00,/,已存入零钱,1000039501000912217019014931778	,1000039501201912217019014931778	,"/"
2019-12-21 23:46:50,微信红包,Jun-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912217018984320694	,1000039501201912217018984320694	,"/"
2019-12-21 23:46:45,微信红包,Jun-桃桃🍑,"/",收入,¥80.00,/,已存入零钱,1000039501000912217018672574636	,1000039501201912217018672574636	,"/"
2019-12-21 23:46:39,微信红包,Jun-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912217017650160766	,1000039501201912217017650160766	,"/"
2019-12-21 23:46:34,微信红包,Jun-桃桃🍑,"/",收入,¥200.00,/,已存入零钱,1000039501000912217018662409905	,1000039501201912217018662409905	,"/"
2019-12-21 23:46:29,微信红包,Jun-桃桃🍑,"/",收入,¥48.00,/,已存入零钱,1000039501000912217017630147614	,1000039501201912217017630147614	,"/"
